days,C1-Cu,C3-Cu,C4-Cu,C6-Cu,C8-Cu,C9-Cu,C10-Cu,C11-Cu,C12-Cu,C13-Cu,C1-Ni,C3-Ni,C4-Ni,C6-Ni,C8-Ni,C9-Ni,C10-Ni,C11-Ni,C12-Ni,C13-Ni
120,0.139821701,0.234846482,0.155643888,0.099714744,0.189540348,,,,,,0.248924667,0.417989435,0.385587214,0.220480916,0.432829469,,,,,
121,0.140832074,0.235439655,0.157576018,0.099970772,0.189904877,,,,,,0.25064973,0.418958085,0.387643671,0.222222972,0.434191346,,,,,
122,0.141642874,0.236031765,0.158513305,0.100235008,0.19020777,,,,,,0.252227237,0.419948511,0.388821717,0.224213669,0.435588854,,,,,
123,0.142922699,0.236932264,0.159731716,0.10056392,0.190519321,,,,,,0.254804831,0.421503289,0.39057318,0.226814717,0.437398697,,,,,
124,0.144154443,0.237964114,0.161228943,0.100843967,0.190745842,,,,,,0.25741988,0.423424141,0.392692146,0.228988824,0.438954999,,,,,
125,0.145344579,0.238710181,0.162335463,0.101120202,0.190957091,,,,,,0.25988926,0.424753898,0.394261924,0.231043636,0.440561546,,,,,
126,0.146626954,0.239387331,0.163561807,0.101374883,0.191120134,,,,,,0.262480532,0.425966843,0.395988083,0.232961056,0.441890053,,,,,
127,0.147769824,0.240140198,0.164923719,0.101616573,0.191265118,,,,,,0.264723259,0.427598108,0.397848106,0.234593112,0.443194586,,,,,
128,0.148695638,0.240596579,0.166248557,0.101827521,0.191367654,,,,,,0.266572477,0.428414203,0.399471535,0.236123226,0.444351207,,,,,
129,0.149560976,0.241060868,0.167492987,0.102020851,0.191480701,,,,,,0.268347598,0.429273872,0.40102133,0.237426654,0.445535789,,,,,
130,0.150357398,0.241622113,0.168628848,0.102245312,0.191584934,,,,,,0.270041333,0.43033935,0.402476872,0.238926984,0.446623153,,,,,
131,0.151292739,0.242155551,0.169759397,0.102450544,0.191664274,,,,,,0.271863771,0.431414233,0.403929051,0.240315763,0.447688433,,,,,
132,0.152087138,0.242634334,0.170814053,0.102657498,0.191745737,,,,,,0.273453093,0.432323222,0.405323531,0.241632988,0.448799062,,,,,
133,0.152851055,0.243010987,0.171866023,0.102859529,0.191823118,,,,,,0.275054789,0.433072244,0.406697385,0.24288916,0.449865006,,,,,
134,0.153797238,0.243418222,0.173189197,0.103092958,0.19189426,,,,,,0.276999313,0.433875695,0.408275244,0.244337267,0.451009401,,,,,
135,0.154746295,0.243763722,0.174550957,0.103325052,0.19196137,,,,,,0.278951924,0.43460193,0.409731151,0.245867296,0.452144268,,,,,
136,0.155488405,0.244072527,0.175721397,0.103516742,0.192029159,,,,,,0.280540605,0.435260724,0.411175619,0.247155909,0.453293749,,,,,
137,0.156233169,0.244355272,0.176736726,0.103572525,0.192119451,,,,,,0.282031012,0.435882487,0.412492363,0.24753773,0.454576995,,,,,
138,0.156776239,0.244615416,0.177616572,0.103603118,0.192220027,,,,,,0.283215527,0.436477416,0.41368219,0.247741806,0.455879152,,,,,
